Fouch_upper-mantle_SKS_splitting-2004.dat
Station Latitude Longitude     phi      dt  10.0
ARU      56.4000   58.6000      68    0.90  10.0
COL      64.8900 -147.7900     -82    1.55  10.0
GRA1     49.6900   11.2200      77    1.05  10.0
HIA      49.2600  119.7400     -20    0.70  10.0
LAC      34.3900 -116.4100     -54    1.20  10.0
MNV      38.4300 -118.1500      75    0.90  10.0
OBN      55.1000   36.3600       5    0.50  10.0
RSCP     35.5900  -85.5700      59    0.75  10.0
RSNT     62.4800 -114.5900      51    1.20  10.0
RSNY     44.5500  -74.5300      74    0.90  10.0
RSON     50.8600  -93.7000      76    1.70  10.0
RSSD     44.1200 -104.0400      55    0.65  10.0
SLR     -25.7300   28.2800      81    1.10  10.0
TOL      39.8800   -4.0500      84    1.00  10.0
WMQ      43.8200   87.6900      39    1.00  10.0
ALR      44.0000   74.2000      80    1.20  10.0
ANA      42.7750   77.6810      80    1.40  10.0
ARK      41.8710   71.9600      80    1.80  10.0
ARL      41.9000   74.2000      60    0.60  10.0
ARS      41.3290   72.9730      80    1.60  10.0
BTK      40.0570   70.8180      80    1.40  10.0
ERK      42.5000   73.6000      80    1.40  10.0
FRU      42.8000   74.6000      80    1.00  10.0
GAR      39.0008   70.3167      60    1.00  10.0
KDS      42.1000   77.2000     160    1.00  10.0
MNS      42.5060   72.5620      90    1.20  10.0
NRN      41.4330   76.0000     140    0.80  10.0
OSH      40.5250   72.7850      80    2.00  10.0
PRZ      42.4830   78.2400     100    1.60  10.0
SAM      39.6720   66.9900     100    1.20  10.0
SFK      40.0330   73.5000      40    1.20  10.0
TAS      41.3250   69.2950      80    0.60  10.0
P1K      34.8000 -112.4000      59    0.85  10.0
P2H      34.0000 -112.9000      68    1.12  10.0
P36      33.7000 -114.1000      74    0.74  10.0
PCC      35.7500 -112.5000      56    0.64  10.0
ANMO     34.9460 -106.4560      41    1.50  10.0
CZL      36.2830 -105.9100      26    0.90  10.0
ELPA     31.7720 -106.5100       5    1.50  10.0
SEVI     34.2700 -106.7300      41    1.10  10.0
WSMR     32.3400 -106.4900      11    1.20  10.0
WTX      34.0720 -106.9500      46    1.10  10.0
ANMO     34.9000 -106.5000      35    1.10  10.0
ANTO     39.9000   32.8000      25    1.30  10.0
ASH      37.9000   58.3000      25    0.80  10.0
BCAO      4.4000   18.5000      60    0.60  10.0
BDF     -15.7000  -47.9000      40    1.20  10.0
BER      60.4000    5.3000     105    1.10  10.0
BKR      41.7000   43.5000      90    1.70  10.0
BRG      50.9000   14.0000     100    1.20  10.0
BRV      53.1000   70.2000      30    1.20  10.0
CAY       5.0000  -52.3000     100    0.00  10.0
CHTO     18.8000   99.0000     100    1.60  10.0
CLL      51.3000   13.0000     100    1.00  10.0
COL      64.9000 -147.8000      77    1.60  10.0
CTAO    -20.1000  146.3000      40    1.00  10.0
ELT      53.2000   86.3000      80    1.20  10.0
FRU      42.8000   74.6000      80    1.00  10.0
GAC      45.7000  -75.5000      85    0.90  10.0
GAR      39.0000   70.3000      65    1.70  10.0
GDH      69.3000  -53.5000     120    1.20  10.0
GRF      49.5000   11.2000      90    0.70  10.0
GRS      39.0000   46.3000     100    1.50  10.0
ILT      67.9000 -178.8000      15    0.90  10.0
IRK      52.2000  104.3000      75    1.10  10.0
JAS      37.9000 -120.4000      80    1.50  10.0
KAAO     34.5000   69.0000      60    1.80  10.0
KEV      69.8000   27.0000      70    1.10  10.0
KHC      49.1000   13.6000     100    1.10  10.0
KHE      80.6000   58.0000      65    1.20  10.0
KONO     59.6000    9.6000      20    0.80  10.0
KSP      50.8000   16.3000     120    0.90  10.0
MGD      60.1000  150.7000      20    0.80  10.0
MOX      50.7000   11.6000     100    0.70  10.0
NE02     56.5000    9.2000      60    1.20  10.0
NE05     52.1000    5.2000      70    0.50  10.0
NE15     50.9000    5.8000      70    0.50  10.0
NRI      69.4000   88.1000       0    1.80  10.0
NWAO    -32.9000  117.2000      60    1.50  10.0
OBN      55.2000   36.6000       0    0.60  10.0
RSCP     35.6000  -85.6000      46    0.80  10.0
RSNT     62.5000 -114.6000      48    1.10  10.0
RSON     50.9000  -93.7000      80    1.70  10.0
RSSD     44.1000 -104.0000      54    0.60  10.0
SCP      40.8000  -77.9000      80    1.20  10.0
SCZ      36.6000 -121.4000     100    1.30  10.0
SEM      50.5000   80.3000     170    1.50  10.0
SEY      62.9000  152.4000     110    1.20  10.0
SHIO     25.6000   91.9000     120    1.10  10.0
SLR     -25.7000  -28.3000      90    0.80  10.0
SSB      45.2800    4.5400     140    1.00  10.0
STU      48.8000    9.2000      50    0.50  10.0
SVE      56.8000   60.6000       0    1.40  10.0
TAS      41.3000   69.3000      80    0.80  10.0
TATO     25.0000  121.5000      60    1.80  10.0
TAU     -42.9000  147.3000      80    0.60  10.0
TIK      71.6000  128.9000      60    0.00  10.0
TOL      39.9000   -4.0000     100    1.30  10.0
WFM      42.6000  -71.5000      80    0.80  10.0
ZAK      50.3000  103.3000     130    1.20  10.0
BRG      50.9000   14.0000     100    1.20  10.0
CLL      51.3000   13.0000     100    1.00  10.0
MOX      50.7000   11.6000     100    0.70  10.0
GRF      49.4000   11.3000      90    0.70  10.0
STU      48.8000    9.2000      50    0.50  10.0
NE05     52.1000    5.2000      70    0.50  10.0
NE15     50.9000    5.8000      70    0.50  10.0
KHC      49.1000   13.6000     100    1.10  10.0
KSP      50.8000   16.3000     120    0.90  10.0
BKS      37.8770 -122.2350     -66    1.55  10.0
BMN      40.4310 -117.2200      74    0.85  10.0
CMB      38.0350 -120.3850      85    1.50  10.0
DNY      41.0810 -119.2770      74    1.25  10.0
ELK      40.7450 -115.2400     -72    1.00  10.0
KNB      37.0170 -112.8220      22    0.95  10.0
LAC      34.3900 -116.4110     -77    1.35  10.0
MHC      37.3420 -121.5420     -52    1.50  10.0
MNV      38.4320 -118.1540     -89    1.25  10.0
P01      40.5300 -119.0300      74    0.80  10.0
P07      39.3300 -118.1200      77    0.70  10.0
P12      37.0100 -116.6400      37    0.55  10.0
SAO      36.7650 -121.4450     -68    2.15  10.0
WCN      37.5280 -119.7560     -89    0.55  10.0
CNOW     49.0700  -93.1400      58    1.20  10.0
CPSW     43.7100 -103.3900      84    1.05  10.0
CROW     50.1500  -93.0700      76    1.60  10.0
DIWR     43.4600 -105.5800      29    0.95  10.0
DLOR     49.6100  -92.8600      66    1.75  10.0
EFOR     50.5300  -93.3000      64    1.70  10.0
FLOR     52.8700  -93.6500      73    1.00  10.0
FVNR     48.2300  -97.7400      54    1.00  10.0
GLWW     44.1900 -105.6800      37    0.80  10.0
HANW     47.1800 -101.5500      98    0.00  10.0
LENR     46.1900 -101.5900      67    0.00  10.0
LPSW     45.8000 -102.6100      68    0.80  10.0
MAMW     48.1000  -93.8000      81    1.30  10.0
MCNW     47.5500 -100.3600      48    0.40  10.0
NBOW     51.4100  -93.6900      66    1.45  10.0
NSOW     52.4600  -93.0500      80    0.70  10.0
OPSR     44.9100 -102.5100      83    0.75  10.0
RSON     50.8590  -93.7020      76    1.70  10.0
RSSD     44.1200 -104.0360      55    0.65  10.0
SHNW     47.8500  -99.2300      28    1.35  10.0
STNR     46.6700  -99.8800      37    1.20  10.0
TRMW     48.1200  -96.4200      38    1.00  10.0
G01      55.9650  101.4100     133    1.00  10.0
G02      55.5600  101.8030     170    0.90  10.0
G03      55.0220  102.0550     145    0.80  10.0
G04      54.5160  102.0700     128    1.20  10.0
G05      54.1930  102.6490     144    0.70  10.0
G06      53.9290  102.9340     149    0.60  10.0
G07A     53.6490  103.2550     110    0.00  10.0
G07B     53.6490  103.2550      20    0.00  10.0
G08A     53.2430  103.7670     110    0.00  10.0
G08B     53.2430  103.7670      20    0.00  10.0
G09      52.7780  104.1050     138    0.90  10.0
G10      52.6220  104.2340     138    0.60  10.0
G11A     52.1690  104.4690     110    0.00  10.0
G11B     52.1690  104.4690      20    0.00  10.0
G12      51.8470  104.8930     144    0.60  10.0
G13      51.5260  105.1210     148    1.30  10.0
G14      51.2920  105.3390     132    0.90  10.0
G15      51.0210  105.6820     138    1.10  10.0
G16A     50.7910  105.9700      38    1.00  10.0
G16B     50.7910  105.9700     129    1.60  10.0
G17      50.1930  106.2540     137    1.50  10.0
G18      49.7470  106.1880     145    0.80  10.0
G19      49.7380  106.2020     147    0.30  10.0
G20      49.2880  106.4120     134    0.40  10.0
G21A     48.9310  106.6820      39    1.00  10.0
G21B     48.9310  106.6820     132    0.80  10.0
G22      48.3830  106.7830     105    1.10  10.0
G23      47.9210  106.9540      64    0.80  10.0
G24      47.8660  107.0510      69    0.70  10.0
G25      47.2090  107.4220      44    0.30  10.0
G26A     46.6350  107.7580      56    0.40  10.0
G26B     46.6350  107.7580     132    1.50  10.0
G27      46.1150  107.6190      55    1.30  10.0
G28      45.2620  108.2600      85    1.40  10.0
AAK      42.6390   74.4940      83    1.45  10.0
ALE      82.4830  -62.3500      61    0.91  10.0
ARU      56.4000   58.6000      68    0.94  10.0
ESK      55.3170   -3.2050      74    1.07  10.0
GAR      39.0000   70.3100      69    1.31  10.0
KIV      43.9560   42.6880      88    1.20  10.0
OBN      55.1130   36.5690     -19    0.68  10.0
AMDO     32.2470   91.6880      75    0.88  10.0
BUDO     35.5290   93.9100      87    2.40  10.0
ERDO     34.5200   92.7070      73    1.49  10.0
GANZ     29.7670   94.0500      79    0.94  10.0
LHSA     29.7020   91.1280     120    0.00  10.0
MAQI     34.4780  100.2490     132    0.82  10.0
SANG     31.0240   91.7000      51    0.80  10.0
TUNL     36.1990   94.8150      89    0.93  10.0
USHU     33.0110   97.0150     119    0.72  10.0
WNDO     33.4480   91.9040      62    1.91  10.0
XIGA     29.2340   88.8510      82    1.25  10.0
BDF     -15.6640  -47.9030      53    1.50  10.0
CAY       4.9480  -52.3170     119    0.70  10.0
CECV     10.5700  -64.1700      81    1.90  10.0
DTMR     38.9600  -77.0600       0    0.00  10.0
ECPV      9.1800  -65.2500      79    0.70  10.0
MBO      14.3910  -16.9550      82    0.70  10.0
MNVV      9.9500  -64.0300     101    1.30  10.0
RSCP     35.5900  -85.5700      59    0.70  10.0
RSSD     44.1200 -104.0400      55    0.60  10.0
RSNT     62.4800 -114.5920      51    1.20  10.0
RSNY     44.5500  -74.5300      74    0.90  10.0
WFM      42.1000  -71.4900     100    0.80  10.0
EBMT     49.6280  -95.6220      42    1.60  10.0
EUAL     32.7790  -87.8740     272    0.80  10.0
FOTX     30.9020 -102.6980      39    0.80  10.0
GEAZ     33.7760 -110.5280      42    1.30  10.0
HHND     48.9480  -98.6920      51    1.30  10.0
JELA     31.7850   92.0150      83    1.10  10.0
KNUT     37.0230 -112.8270      27    0.70  10.0
LCNM     32.4020 -106.5990      23    1.10  10.0
NLAZ     35.9010 -109.5690      76    1.30  10.0
RTNM     36.7290 -104.3600      27    0.80  10.0
RYND     48.0970 -101.4940      69    0.50  10.0
TDNM     36.6560 -106.1720      48    1.00  10.0
BFO      48.3319    8.3311      40    1.00  10.0
CLZ      51.8400   10.3700     110    0.60  10.0
FUR      48.1600   11.2800      60    1.20  10.0
HAM      53.4700    9.9200     120    0.40  10.0
TNS      50.2200    8.4500      80    0.80  10.0
WET      49.1400   12.8800      90    1.40  10.0
AUC      43.6600    0.5600      46    1.20  10.0
AUC      43.6600    0.5600       0    0.00  10.0
AVL      41.8810    0.7530     100    1.50  10.0
AVL      41.8810    0.7530     102    1.30  10.0
BDB      43.0590    0.1500      90    0.80  10.0
LTE      43.1830    0.7630      98    0.60  10.0
MLS      42.9560    1.0950      70    0.90  10.0
PON      42.4040    0.7570      99    1.50  10.0
VIH      42.6290    0.7700     102    1.30  10.0
DAWY     64.0600 -139.3100     116    1.35  10.0
EDM      53.2200 -113.3500      33    0.60  10.0
FCC      58.7600  -94.0800      27    0.55  10.0
FFC      54.7200 -101.9700      48    0.70  10.0
FRB      63.7400  -68.5400      78    0.70  10.0
GAC      45.7000  -75.4700      36    0.65  10.0
INK      68.3000 -133.5200      81    0.60  10.0
MBC      76.2400 -119.3600      43    0.85  10.0
RES      74.6800  -94.9000     300    0.95  10.0
WALA     49.0500 -113.9100      37    0.90  10.0
WHY      60.6500 -134.8800     166    0.95  10.0
YKA      62.4900 -114.6000      53    1.55  10.0
BBO      54.7367   -3.2465      94    0.61  10.0
BHH      55.0928   -3.2187     -25    0.90  10.0
CME      50.1760   -5.1903      91    0.47  10.0
CR2      50.1669   -5.1687      91    0.47  10.0
CRA      50.1648   -5.1921      91    0.47  10.0
CTR      50.1665   -5.1624      91    0.47  10.0
CWF      52.7382   -1.3071      73    0.78  10.0
DYA      50.4352   -3.9309      37    0.81  10.0
EDI      55.9233   -3.1861      64    0.75  10.0
ESK      55.3167   -3.2050      81    1.04  10.0
GAL      54.8664   -4.7114     -66    0.85  10.0
HPK      53.9554   -1.6240      81    0.62  10.0
HTL      50.9944   -4.4850      95    0.58  10.0
KPL      57.3391   -5.6527      83    0.65  10.0
LRW      60.1360   -1.1779       4    0.53  10.0
MCD      57.5827   -3.2541      45    0.94  10.0
MCH      51.9977   -2.9983      20    0.79  10.0
PGB      55.8100   -4.4780      94    1.03  10.0
SWN      51.5130   -1.8005     -66    0.49  10.0
TFO      51.1136    1.1406      70    0.67  10.0
WCB      53.3782   -4.5465     -26    0.60  10.0
ADW      38.4160 -121.0000      91    1.80  10.0
AFD      38.9480 -120.9710     101    1.30  10.0
BKS      37.8770 -122.2350     120    1.58  10.0
BMN      40.4310 -117.2220      81    2.00  10.0
CMB      38.0350 -120.3850      85    1.68  10.0
DNY      41.0810 -119.2270      82    1.61  10.0
GSC      35.3030 -116.8080      92    1.07  10.0
ISA      35.6630 -118.4730      11    1.52  10.0
KVN      39.0510 -118.1000      55    0.92  10.0
LAC      34.3900 -116.4100     103    1.35  10.0
MHC      37.3420 -121.6420     122    1.53  10.0
MIN      40.3450 -121.6100      79    0.78  10.0
MNA      38.4330 -118.1570      93    1.29  10.0
ORV      39.5560 -121.5000       0    0.00  10.0
PAS      34.1480 -118.1720      82    1.21  10.0
PFO      33.6090 -116.4550      89    1.45  10.0
PKD      35.8890 -120.4200      93    1.60  10.0
SAO      36.7650 -121.4450     111    1.73  10.0
SBC      34.4410 -119.7130      91    1.02  10.0
STA      37.4040 -122.1740     117    1.54  10.0
SVD      34.1040 -117.0970      87    1.55  10.0
